,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0009.7-3217,-0.9835377,0.9999311,0.01174092,-11.6277895,-12.485202,0.9575941,2.149558,0.0580571517348289,0.9210495948791504,1.4461677,rdg,0.41905684875118165,0.43858784457061123,0.00011082660852246107,0.0016042343711392738,0.0,0.0002147786619440431,8.21070720876434e-05,0.001989727188100335,0.11709577517761839,0.1604199930586609,0.46365444239058967,0.3971834221495443
4FGL J0009.8-4317,-0.94978744,0.845961,-0.53324485,-11.563348,-12.510091,1.1108565,2.16816,0.0005519107799045,0.0,1.1402565,bll,0.3562520454993188,0.26470724914431554,0.00528848896434635,0.0011222788605768127,0.0,0.0001925027822670119,0.0010526315789473684,0.005526791220907334,0.06059812374213927,0.04539145697686599,0.576808710215248,0.6830597210150673
4FGL J0009.8+1340,-0.7428102,-0.30490068,0.9523842,-11.911145,-12.497143,0.6843936,-0.29165387,0.7426486015319824,1.8656766414642332,1.0753319,bcu,0.6843836229474551,0.7571508059602321,0.017262993281585978,0.00696832978717193,0.0,0.0007097354646637532,0.004174359187581737,0.006023491181104309,0.024442256528621528,0.01814213832174505,0.26973676805475555,0.21100549928508297
4FGL J0009.8-6358,-0.7939006,0.64821935,-0.7614537,-11.822094,-12.484496,0.6451319,2.906715,-0.0135477110743522,0.1948514580726623,1.1010113,bcu,0.46894746134550636,0.5684267129437562,0.0020266666666666666,0.0016459776371411667,0.000125,0.0009583916850581228,0.006152613087395696,0.005200824131460688,0.45035727934357367,0.39720386415623965,0.0723909795568577,0.026564229446344116
4FGL J0009.9+2810,-0.55639905,-0.37349674,0.9276315,-11.889725,-12.505725,0.691717,2.0295057,0.036489725112915,0.310248464345932,1.1610626,unas,0.5992737540949519,0.5916605226204737,0.0008717074349649759,0.0013554958790985045,0.0,0.00019170001907835562,0.0016839579343662686,0.0022649622681084874,0.07208234422406808,0.05716208794953713,0.3260882363116489,0.34736523126370394
4FGL J0010.1+1631,-0.709796,-0.32247663,0.9465774,-11.998282,-12.519475,0.6275511,1.7518202,0.0898013114929199,0.6776749491691589,1.0354538,unas,0.6115466415527984,0.5763048243955572,0.0019617596982708283,0.00174480605228723,4.4444444444444447e-05,0.00018281010447171453,0.0003328171062868192,0.001876592114342729,0.08632815917429275,0.042481477330386264,0.2997861780239067,0.3774094900029549
4FGL J0010.2-2431,-0.98592114,0.69050914,0.72332364,-11.989074,-12.580564,0.66835225,1.7621553,0.1511910259723663,1.069894552230835,1.0236503,unas,0.6179950346437708,0.5091122522365837,0.002073041422365756,0.0053998515602795795,4.4444444444444447e-05,0.00034008458603364847,0.0007795367450596629,0.0033760795674892454,0.05737332588019242,0.07792093522028212,0.321734616864167,0.4038507968293319
4FGL J0010.6+2043,-0.657747,-0.34560516,0.93838,-11.709281,-12.393344,0.73123926,2.2900622,0.0703887194395065,0.6575003862380981,1.4843308,fsrq,0.5837433757141189,0.6131835676921107,0.0023980526955438256,0.001105505016499062,0.00019015444015444015,0.00016279997858948544,0.007010159388569036,0.001877706405894852,0.23815699426194578,0.22225917665929712,0.1685012634996679,0.16141124424760878
4FGL J0010.6-3025,-0.9862346,0.9839981,0.17817898,-11.270302,-12.349692,1.3327279,2.424331,0.1562431305646896,3.686152935028076,2.2273116,fsrq,0.23370488766066022,0.13282338578960384,0.0014285714285714286,0.0006334908438846265,0.0,0.00022724500360301992,0.0,0.0006777657233199363,0.7379839378695519,0.8237016206456823,0.026882603041216487,0.041936491993906325
4FGL J0010.8-2154,-0.982937,0.49574396,0.8684687,-11.802651,-12.513598,0.78377706,2.3938494,-0.0141692608594894,0.2491492182016372,1.0785738,bcu,0.4664318474253715,0.4140581825706338,0.00013622974963181149,0.0019120291061001497,0.0,0.00023146581956798618,0.006594421119732706,0.001600091881042537,0.2531861891414782,0.17993160484097162,0.2736513125637857,0.4022666257816838
4FGL J0011.4-4110,-0.95990515,0.8725137,-0.48858964,-11.870988,-12.50022,0.66482735,2.477804,0.086630031466484,0.7645527124404907,0.8852484,bcu,0.5731353141039602,0.6219188256539488,0.0023569841355007594,0.0064840795876454,9.96829257698823e-05,0.0009915054358812776,0.004209253454216339,0.01143676206685884,0.29685394987665786,0.23891084776690832,0.12334481550389492,0.12025797948875737
4FGL J0011.4+0057,-0.86865485,-0.2148586,0.9766452,-11.128639,-12.179447,1.3527387,2.2913756,0.0835054665803909,2.32918643951416,2.3637378,fsrq,0.33362511441085163,0.13965684945477386,0.0,0.00020413063884396814,0.0,0.0001200471373619729,0.0011764705882352942,0.0006231034512205411,0.5778099491799215,0.7652870157126367,0.08738846582099177,0.09410885360516293
4FGL J0011.8-3142,-0.98551244,0.9990031,0.044640206,-11.897185,-12.558655,0.80150276,1.7141004,0.0540836453437805,0.3966097235679626,1.3906807,bcu,0.4537449004588539,0.44519245864488016,0.0006159659493884313,0.0008724692162931857,0.0,0.0001564563497132608,0.00032900935073752155,0.002693789980362865,0.09188655883820743,0.03354374608867171,0.4534235654028128,0.5175410797200788
4FGL J0012.0+7043,0.1411023,-0.49486887,0.86896765,-11.283765,-12.078502,0.9727418,2.361543,0.0081448722630739,0.192668467760086,1.278688,bcu,0.5756759767543316,0.6637743505110474,0.009678714270060423,0.0021765221277890057,0.004635108481262328,0.0024065505197517867,0.06897010210531274,0.057592779484192606,0.1482454468325006,0.07601099181024541,0.19279465155653244,0.19803880554697376
4FGL J0013.0+3355,-0.47373793,-0.40506,0.91429013,-11.746469,-12.46515,0.813172,2.0655265,0.0995983332395553,1.1006333827972412,1.7751843,fsrq,0.5452040111179015,0.6571547412171765,0.0006644507060577008,0.0007319000523190933,0.0,0.0001008139278403107,0.0007240252578474215,0.0013447240666128466,0.16392108225255247,0.11987371604201663,0.2894864306656409,0.22079410469403454
